,text,
77,"1.8 magnitude #earthquake. 14 km from #Ridgecrest, #CA, United States https://t.co/EV6v2o5uKJ",1
78,"1.8 magnitude #earthquake. 9 mi from #Ridgecrest, CA, United States https://t.co/0xzVv94fpb",1
79,"USGS reports a M1.84 #earthquake 15km ENE of Ridgecrest, CA on 10/26/19 @ 9:19:02 UTC https://t.co/FDe0LcFqcq #quake",1
80,"USGS reports a M1.08 #earthquake 12km ENE of Ridgecrest, CA on 10/26/19 @ 9:02:15 UTC https://t.co/T7OlM1Hrhb #quake",1
81,"USGS reports a M1.1 #earthquake 13km SSW of Searles Valley, CA on 10/26/19 @ 8:05:49 UTC https://t.co/YgttuWWstm #quake",1
82,"2.3 magnitude #earthquake. 9 mi from #Ridgecrest, CA, United States https://t.co/1Tfagmhg4w",1
83,"California, United States of America
ML 2.4 (3 min ago)
2km 35.71°N 117.56°W
Oct 26, 2019 07:27:56 UTC
#earthquake",1
84,"USGS reports a M2.36 #earthquake 14km NE of Ridgecrest, CA on 10/26/19 @ 7:27:56 UTC https://t.co/yjnKYL7J0p #quake",1
85,"1.7 magnitude #earthquake. 9 mi from Ridgecrest, CA, #UnitedStates https://t.co/zisJo8lZc7",1
86,"USGS reports a M0.63 #earthquake 14km NE of Ridgecrest, CA on 10/26/19 @ 7:19:02 UTC https://t.co/2tMhXiRPbW #quake",1
87,"USGS reports a M1.67 #earthquake 15km NE of Ridgecrest, CA on 10/26/19 @ 7:19:49 UTC https://t.co/Y9v922m9Xf #quake",1
88,"1.5 magnitude #earthquake. 15 km from Searles Valley, #CA, United States https://t.co/U9cp6Oryzq",1
89,"1.5 magnitude #earthquake. 9 mi from Searles Valley, #CA, United States https://t.co/g4IDpK4aiU",1
90,"USGS reports a M1.52 #earthquake 15km SSW of Searles Valley, CA on 10/26/19 @ 6:22:01 UTC https://t.co/qWATDKbwMt #quake",1
91,"USGS reports a M1.34 #earthquake 13km ENE of Ridgecrest, CA on 10/26/19 @ 5:46:18 UTC https://t.co/ZkLFS31ZrF #quake",1
92,"USGS reports a M1.1 #earthquake 13km WSW of Searles Valley, CA on 10/26/19 @ 5:07:07 UTC https://t.co/FulOZovU51 #quake",1
93,"USGS reports a M0.99 #earthquake 15km WSW of Searles Valley, CA on 10/26/19 @ 2:14:36 UTC https://t.co/HO3y7ml8eR #quake",1
94,"USGS reports a M0.58 #earthquake 14km SW of Searles Valley, CA on 10/26/19 @ 0:35:29 UTC https://t.co/ic9PDbeYJV #quake",1
95,"USGS reports a M1.7 #earthquake 16km W of Searles Valley, CA on 10/25/19 @ 23:51:32 UTC https://t.co/B50Km0BNNq #quake",1
96,"USGS reports a M1.15 #earthquake 12km NE of Ridgecrest, CA on 10/25/19 @ 22:26:12 UTC https://t.co/LiWWz6c13j #quake",1
97,"USGS reports a M0.95 #earthquake 14km SSW of Searles Valley, CA on 10/25/19 @ 19:52:50 UTC https://t.co/BJHz9tqCsX #quake",1
98,"USGS reports a M0.63 #earthquake 14km ENE of Ridgecrest, CA on 10/25/19 @ 19:14:45 UTC https://t.co/q3rEoZKalu #quake",1
0,"【mb4.7】OFF EAST COAST OF HONSHU, JAPAN Depth 35km Oct 28, 2019 11:26:29 UTC (G)https://t.co/5Y6swBwDFm (EMSC)https://t.co/7bcm0dwfEw",1
1,"Mb 4.7 earthquake (reviewed) occured at 2019-10-28T11:26:29 UTC, 286km SSE of Kushiro, Japan https://t.co/Ahr4fxMLYF",1
2,"USGS reports a M4.7 #earthquake 286km SSE of Kushiro, Japan on 10/28/19 @ 11:26:29 UTC https://t.co/bmgBQQTGMf #quake",1
3,"M4.7 OFF THE EAST COAST OF HONSHU, JAPAN 34.9km Oct 28, 2019 11:26:29 UTC, Oct 28, 2019 21:26:29 at epicenter https://t.co/8Iw7CW2OKs",1
4,"【M4.7】OFF THE EAST COAST OF HONSHU, JAPAN 34.9km 2019/10/28 20:26:29 JST[UTC+9]
(G)https://t.co/ejh7J8Azlo (USGS)https://t.co/cl6HwWHU8E",1
0,"USGS reports a M2.79 #earthquake 9km ESE of Redwood Valley, CA on 10/28/19 @ 11:16:41 UTC https://t.co/Fcl8xmsZ58 #quake",1
1,"California, United States of America
MD 2.8 (2 min ago)
7km 39.24°N 123.10°W
Oct 28, 2019 11:16:41 UTC
#earthquake",1
2,"Md 2.79 earthquake (automatic) occured at 2019-10-28T11:16:41 UTC, 9km ESE of Redwood Valley, CA https://t.co/0DcrLqYeID",1
3,"#BurrisFire 🔥 unofficial, automated update.
Near Calpella, CA. ⚠️ DO NOT USE FOR SAFETY PURPOSES - See officials in… https://t.co/jpb9fePM0O",0
4,"#BurrisFire 🔥 unofficial, automated update.
Near Calpella, CA. ⚠️ DO NOT USE FOR SAFETY PURPOSES - See officials in… https://t.co/0sjEdUqaP5",0
5,"#BurrisFire 🔥 unofficial, automated update.
Near Calpella, CA. ⚠️ DO NOT USE FOR SAFETY PURPOSES - See officials in… https://t.co/8NgmMWklw6",0
6,No new friends https://t.co/0AWWDGnPG1,0
7,"For the first time, in over a year for sure, someone (people) bought mu drink because they truly enjoyed my company… https://t.co/qMjs4AQEgQ",0
8,I’m trying to explain why we see certain stars/constellations part of the year and some year round... pretty sure I… https://t.co/jRPGg7bf9s,0
9,"DAY 20 OF THIRTY DAYS OF KULWICKI  
In 1987, Alan Kulwicki changed his car number to 7 which he is most known for.… https://t.co/wQY3ff1GR6",0
0,"4.9 magnitude #earthquake. 121 km from Brookings, #OR, United States https://t.co/ym4UilZTij",1
1,"Mb 4.9 earthquake (reviewed) occured at 2019-10-28T11:01:04 UTC, 120km W of Brookings, Oregon https://t.co/kMyb1rsgQ4",1
2,"USGS reports a M4.9 #earthquake 120km W of Brookings, Oregon on 10/28/19 @ 11:01:04 UTC https://t.co/aStYjTLCef #quake",1
3,"Mag: 4.36767 - Depth: 3 km - UTC 11:01 -  Brookings, Oregon - USGS Info: https://t.co/HrlBgR91SG",1
4,"4.4 magnitude #earthquake. 118 km from Brookings, OR, ##UnitedStates https://t.co/g7M26tEJVe",1
5,"USGS reports a M4.3676695823669 #earthquake 117km W of Brookings, Oregon on 10/28/19 @ 11:01:10 UTC https://t.co/jt2dU0tSxi #quake",1
6,"Ml 4.36766958236694 earthquake (automatic) occured at 2019-10-28T11:01:10 UTC, 117km W of Brookings, Oregon https://t.co/Pet7amTMtk",1
7,"【Ml4.4】OFF COAST OF NORTHERN CALIFORNIA Depth 4km Oct 28, 2019 11:01:10 UTC (G)https://t.co/sCkeV8XoHm (EMSC)https://t.co/A2aaed0Ov5",1
8,"#California, 2019/10/28 12:01:01: #Warning #Tsunami Possibility of a tsunami triggered. Stay informed of the alert… https://t.co/fgqMPG3TH8",0
9,"USGS reports a M5.2 #earthquake 126km W of Brookings, Oregon on 10/28/19 @ 11:01:01 UTC https://t.co/audD9MfoBX #quake",1
10,"Mi 5.2 earthquake (REVIEWED) occured at 2019-10-28T11:01:01 UTC, 126km W of Brookings, Oregon https://t.co/iZvb2RWXQg",1
11,"5.2 earthquake, 126km W of Brookings, Oregon. 2019-10-28 03:01:01 at epicenter (5m ago, depth 1km). https://t.co/LzVZwJ8wEY",1
12,"5.2 earthquake, 126km W of Brookings, Oregon. 2019-10-28 03:01:01 at epicenter (5m ago, depth 1km). https://t.co/3BUD11fnk5",1
13,"M5.2 OFF THE COAST OF NORTHERN CALIFORNIA 1.0km Oct 28, 2019 11:01:01 UTC, Oct 28, 2019 03:01:01 at epicenter https://t.co/c8BhCdDoHX",1
14,"【M5.2】OFF THE COAST OF NORTHERN CALIFORNIA 1.0km 2019/10/28 20:01:01 JST[UTC+9]
(G)https://t.co/gMIuJTSpby (USGS)https://t.co/SnffXiCje3",1
15,"5.2 magnitude #earthquake. 126 km from Brookings, OR, #UnitedStates https://t.co/v3uy3YxVLu",1
16,"#Warning #Earthquake: 5.2 Ml, off the coast of Northern California. 2019/10/28. #offthecoastofNorthernCalifornia. M… https://t.co/DL1rj8swCF",1
17,"A 5.2 magnitude earthquake occurred 78.29mi W of Brookings, Oregon. Details: https://t.co/rdX9Z3Bocl Map: https://t.co/QmKDWYcp4u",1
0,"Ml 2.7 earthquake (automatic) occured at 2019-10-28T11:01:03 UTC, 68km NNE of Redoubt Volcano, Alaska https://t.co/LR4EK0fhH7",1
1,"Ml 2.8 earthquake (automatic) occured at 2019-10-28T11:01:03 UTC, 68km NNE of Redoubt Volcano, Alaska https://t.co/LR4EK0fhH7",1
2,"USGS reports a M2.8 #earthquake 68km NNE of Redoubt Volcano, Alaska on 10/28/19 @ 11:01:03 UTC https://t.co/OEmzwB4iZD #quake",1
3,"2.8 magnitude #earthquake. 72 km from #Nikiski, AK, United States https://t.co/KKmvHpu0Fc",1
4,"Ml 2.8 earthquake (automatic) occured at 2019-10-28T11:01:03 UTC, Southern Alaska https://t.co/LR4EK0fhH7",1
5,"2.1 magnitude #earthquake. 68 km from #Nikiski, AK, United States https://t.co/H6NTzQpmsI",1
6,USGS reports a M2.1 #earthquake Southern Alaska on 10/25/19 @ 15:54:26 UTC https://t.co/lkOFKdiAEp #quake,1
0,"2.6 magnitude #earthquake. 67km SSE of Cantwell, Alaska https://t.co/vpHoK1I2a0",1
1,"Ml 2.6 earthquake (automatic) occured at 2019-10-28T10:23:34 UTC, 67km SSE of Cantwell, Alaska https://t.co/4bZ7FkVWVu",1
2,"USGS reports a M2.6 #earthquake 67km SSE of Cantwell, Alaska on 10/28/19 @ 10:23:34 UTC https://t.co/gWYa4jTX8z #quake",1
3,"Ml 2.6 earthquake (automatic) occured at 2019-10-28T10:23:34 UTC, Central Alaska https://t.co/4bZ7FkVWVu",1
4,"1.6 magnitude #earthquake. 65km SSE of Cantwell, Alaska https://t.co/P124LvME4s",1
5,"USGS reports a M1.6 #earthquake 65km SSE of Cantwell, Alaska on 10/27/19 @ 4:46:24 UTC https://t.co/XrQehUbBDh #quake",1
6,"Ml 4.6 earthquake (reviewed) occured at 2019-10-27T04:32:26 UTC, 68km SSE of Cantwell, Alaska https://t.co/bwEZkXZ6xT",1
0,"Mb 4.6 earthquake (reviewed) occured at 2019-10-28T09:14:10 UTC, Java Sea https://t.co/0nt8oIqdjn",1
0,"MD 3.0 (214 min ago)
85km 18.85°N 66.49°W
Oct 28, 2019 08:30:45 UTC
#earthquake",1
0,"#KincadeFire 🔥 unofficial, automated update.
At Geyserville, CA. ⚠️ DO NOT USE FOR SAFETY PURPOSES - See officials… https://t.co/TqoPCB5YSv",0
1,"California, United States of America
MD 2.0 (3 min ago)
2km 38.83°N 122.81°W
Oct 28, 2019 15:26:58 UTC
#earthquake",1
2,"USGS reports a M2.05 #earthquake 7km NW of The Geysers, CA on 10/28/19 @ 15:26:58 UTC https://t.co/50FKIho0h0 #quake",1
3,"1.6 magnitude #earthquake. 8 km from #Cobb, CA, United States https://t.co/jtCUzUYf0a",1
4,"USGS reports a M1.55 #earthquake 6km NW of The Geysers, CA on 10/28/19 @ 15:11:05 UTC https://t.co/0MjGnnK8pm #quake",1
5,"California, United States of America
MD 2.1 (4 min ago)
1km 38.80°N 122.81°W
Oct 28, 2019 14:07:22 UTC
#earthquake",1
6,"2.1 magnitude #earthquake. 8 km from #Cobb, CA, United States https://t.co/Z6ibYwlEEy",1
7,"USGS reports a M2.14 #earthquake 5km WNW of The Geysers, CA on 10/28/19 @ 14:07:22 UTC https://t.co/xH51GkRHVP #quake",1
8,"2.3 magnitude #earthquake. 5 km from Cobb, #CA, United States https://t.co/a6T8Opyg2B",1
9,"California, United States of America
MD 2.3 (3 min ago)
0km 38.80°N 122.77°W
Oct 28, 2019 08:23:35 UTC
#earthquake",1
10,"USGS reports a M2.3 #earthquake 3km NNW of The Geysers, CA on 10/28/19 @ 8:23:35 UTC https://t.co/0No6ZPz5Dn #quake",1
11,"1.6 magnitude #earthquake. 5 km from #Cobb, CA, United States https://t.co/b9M1L9Lc3q",1
12,"USGS reports a M1.64 #earthquake 3km NNW of The Geysers, CA on 10/28/19 @ 8:15:26 UTC https://t.co/zySyJnc5EF #quake",1
13,"Ml 3.3 earthquake (automatic) occured at 2019-10-28T08:10:43 UTC, 4km NNW of The Geysers, CA https://t.co/HQeflhcB8c",1
14,"2.5 magnitude #earthquake. 5 km from Cobb, #CA, ##UnitedStates https://t.co/g6Rbv77OYt",1
15,"California, United States of America
ML 3.3 (4 min ago)
1km 38.81°N 122.78°W
Oct 28, 2019 08:10:43 UTC
#earthquake https://t.co/KrJsCFB1IB",1
16,"USGS reports a M3.3 #earthquake 4km NNW of The Geysers, CA on 10/28/19 @ 8:10:43 UTC https://t.co/RSzPI3A7e5 #quake",1
17,"3.3 earthquake, 4km NNW of The Geysers, CA. 2019-10-28 08:10:43 UTC at epicenter (4m ago, depth 1km). https://t.co/KI1DXbHUFn",1
18,"Md 2.47 earthquake (automatic) occured at 2019-10-28T08:08:09 UTC, 2km NNW of The Geysers, CA https://t.co/UsWYakk1s4",1
19,"California, United States of America
MD 2.5 (3 min ago)
0km 38.80°N 122.77°W
Oct 28, 2019 08:08:09 UTC
#earthquake",1
20,"USGS reports a M2.47 #earthquake 2km NNW of The Geysers, CA on 10/28/19 @ 8:08:09 UTC https://t.co/I8SPhPz1VZ #quake",1
21,"2.5 magnitude #earthquake. 8 km from Cobb, #CA, United States https://t.co/QlnoI4kNR0",1
22,"California, United States of America
MD 2.5 (4 min ago)
1km 38.83°N 122.81°W
Oct 28, 2019 06:45:30 UTC
#earthquake",1
23,"USGS reports a M2.51 #earthquake 8km W of Cobb, CA on 10/28/19 @ 6:45:30 UTC https://t.co/gPn18jjRli #quake",1
24,"Md 2.51 earthquake (automatic) occured at 2019-10-28T06:45:30 UTC, 8km W of Cobb, CA https://t.co/QwoDLEZxLT",1
25,"1.7 magnitude #earthquake. 7 km from #Cobb, CA, United States https://t.co/1Ra80WbT8r",1
26,"USGS reports a M1.67 #earthquake 7km W of Cobb, CA on 10/28/19 @ 2:08:31 UTC https://t.co/3Uq1C4VfuF #quake",1
27,"2.0 magnitude #earthquake. 7 km from #Cobb, CA, United States https://t.co/S01dyVNrgN",1
28,"USGS reports a M1.98 #earthquake 6km NW of The Geysers, CA on 10/27/19 @ 0:22:18 UTC https://t.co/FPZIs7AWg4 #quake",1
29,"Tonight’s show at Loch Lomond, Roadhouse on Cobb Mountain in Loch Lomond, California is still ON despite power outa… https://t.co/fv5nijbsZ5",0
30,"USGS reports a M1.23 #earthquake 6km WNW of Cobb, CA on 10/26/19 @ 22:41:27 UTC https://t.co/JQzZQUBpAT #quake",1
31,"USGS reports a M1.34 #earthquake 2km WNW of The Geysers, CA on 10/26/19 @ 21:44:44 UTC https://t.co/zRGyue4ra1 #quake",1
32,"#KincadeFire 🔥 unofficial, automated update.
Near Cobb, CA. ⚠️ DO NOT USE FOR SAFETY PURPOSES - See officials inste… https://t.co/dYEyVQ0B1z",0
33,"2.2 magnitude #earthquake. 7 km from Cobb, #CA, United States https://t.co/AaYCS94Mts",1
34,"California, United States of America
MD 2.2 (4 min ago)
0km 38.77°N 122.78°W
Oct 26, 2019 20:01:08 UTC
#earthquake",1
35,"USGS reports a M2.21 #earthquake 2km W of The Geysers, CA on 10/26/19 @ 20:01:08 UTC https://t.co/V9awSbXLUM #quake",1
36,"USGS reports a M2.13 #earthquake 1km SSW of The Geysers, CA on 10/26/19 @ 16:15:04 UTC https://t.co/0ORjV9A5F5 #quake",1
37,"California, United States of America
MD 2.1 (2 min ago)
0km 38.77°N 122.76°W
Oct 26, 2019 16:15:04 UTC
#earthquake",1
0,"#KincadeFire 🔥 unofficial, automated update.
At Geyserville, CA. ⚠️ DO NOT USE FOR SAFETY PURPOSES - See officials… https://t.co/TqoPCB5YSv",0
1,"California, United States of America
MD 2.0 (3 min ago)
2km 38.83°N 122.81°W
Oct 28, 2019 15:26:58 UTC
#earthquake",1
2,"USGS reports a M2.05 #earthquake 7km NW of The Geysers, CA on 10/28/19 @ 15:26:58 UTC https://t.co/50FKIho0h0 #quake",1
3,"1.6 magnitude #earthquake. 8 km from #Cobb, CA, United States https://t.co/jtCUzUYf0a",1
4,"USGS reports a M1.55 #earthquake 6km NW of The Geysers, CA on 10/28/19 @ 15:11:05 UTC https://t.co/0MjGnnK8pm #quake",1
5,"California, United States of America
MD 2.1 (4 min ago)
1km 38.80°N 122.81°W
Oct 28, 2019 14:07:22 UTC
#earthquake",1
6,"2.1 magnitude #earthquake. 8 km from #Cobb, CA, United States https://t.co/Z6ibYwlEEy",1
7,"USGS reports a M2.14 #earthquake 5km WNW of The Geysers, CA on 10/28/19 @ 14:07:22 UTC https://t.co/xH51GkRHVP #quake",1
8,"#KincadeFire 🔥 unofficial, automated update.
At Geyserville, CA. ⚠️ DO NOT USE FOR SAFETY PURPOSES - See officials… https://t.co/mdWX8Pk8ID",0
9,"2.3 magnitude #earthquake. 5 km from Cobb, #CA, United States https://t.co/a6T8Opyg2B",1
10,"California, United States of America
MD 2.3 (3 min ago)
0km 38.80°N 122.77°W
Oct 28, 2019 08:23:35 UTC
#earthquake",1
11,"USGS reports a M2.3 #earthquake 3km NNW of The Geysers, CA on 10/28/19 @ 8:23:35 UTC https://t.co/0No6ZPz5Dn #quake",1
12,"1.6 magnitude #earthquake. 5 km from #Cobb, CA, United States https://t.co/b9M1L9Lc3q",1
13,"USGS reports a M1.64 #earthquake 3km NNW of The Geysers, CA on 10/28/19 @ 8:15:26 UTC https://t.co/zySyJnc5EF #quake",1
14,"Ml 3.3 earthquake (automatic) occured at 2019-10-28T08:10:43 UTC, 4km NNW of The Geysers, CA https://t.co/HQeflhcB8c",1
15,"2.5 magnitude #earthquake. 5 km from Cobb, #CA, ##UnitedStates https://t.co/g6Rbv77OYt",1
16,"California, United States of America
ML 3.3 (4 min ago)
1km 38.81°N 122.78°W
Oct 28, 2019 08:10:43 UTC
#earthquake https://t.co/KrJsCFB1IB",1
17,"USGS reports a M3.3 #earthquake 4km NNW of The Geysers, CA on 10/28/19 @ 8:10:43 UTC https://t.co/RSzPI3A7e5 #quake",1
18,"3.3 earthquake, 4km NNW of The Geysers, CA. 2019-10-28 08:10:43 UTC at epicenter (4m ago, depth 1km). https://t.co/KI1DXbHUFn",1
19,"Md 2.47 earthquake (automatic) occured at 2019-10-28T08:08:09 UTC, 2km NNW of The Geysers, CA https://t.co/UsWYakk1s4",1
20,"California, United States of America
MD 2.5 (3 min ago)
0km 38.80°N 122.77°W
Oct 28, 2019 08:08:09 UTC
#earthquake",1
21,"USGS reports a M2.47 #earthquake 2km NNW of The Geysers, CA on 10/28/19 @ 8:08:09 UTC https://t.co/I8SPhPz1VZ #quake",1
22,"2.5 magnitude #earthquake. 8 km from Cobb, #CA, United States https://t.co/QlnoI4kNR0",1
23,"California, United States of America
MD 2.5 (4 min ago)
1km 38.83°N 122.81°W
Oct 28, 2019 06:45:30 UTC
#earthquake",1
24,"USGS reports a M2.51 #earthquake 8km W of Cobb, CA on 10/28/19 @ 6:45:30 UTC https://t.co/gPn18jjRli #quake",1
25,"Md 2.51 earthquake (automatic) occured at 2019-10-28T06:45:30 UTC, 8km W of Cobb, CA https://t.co/QwoDLEZxLT",1
26,"#KincadeFire 🔥 unofficial, automated update.
At Geyserville, CA. ⚠️ DO NOT USE FOR SAFETY PURPOSES - See officials… https://t.co/zUBGyBUOVk",0
27,"1.7 magnitude #earthquake. 7 km from #Cobb, CA, United States https://t.co/1Ra80WbT8r",1
28,"USGS reports a M1.67 #earthquake 7km W of Cobb, CA on 10/28/19 @ 2:08:31 UTC https://t.co/3Uq1C4VfuF #quake",1
29,"#KincadeFire 🔥 unofficial, automated update.
At Geyserville, CA. ⚠️ DO NOT USE FOR SAFETY PURPOSES - See officials… https://t.co/qXOvlSy19T",0
30,"#KincadeFire 🔥 unofficial, automated update.
At Geyserville, CA. ⚠️ DO NOT USE FOR SAFETY PURPOSES - See officials… https://t.co/6q0kywDTR4",0
31,"#KincadeFire 🔥 unofficial, automated update.
At Geyserville, CA. ⚠️ DO NOT USE FOR SAFETY PURPOSES - See officials… https://t.co/m7ziGPRkq0",0
32,"#KincadeFire 🔥 unofficial, automated update.
At Geyserville, CA. ⚠️ DO NOT USE FOR SAFETY PURPOSES - See officials… https://t.co/GDQ96BH3Bl",0
33,"#KincadeFire 🔥 unofficial, automated update.
At Geyserville, CA. ⚠️ DO NOT USE FOR SAFETY PURPOSES - See officials… https://t.co/35s8lkh8cu",0
34,"#KincadeFire 🔥 unofficial, automated update.
At Geyserville, CA. ⚠️ DO NOT USE FOR SAFETY PURPOSES - See officials… https://t.co/YLfqYSvxiC",0
35,"2.0 magnitude #earthquake. 7 km from #Cobb, CA, United States https://t.co/S01dyVNrgN",1
36,"USGS reports a M1.98 #earthquake 6km NW of The Geysers, CA on 10/27/19 @ 0:22:18 UTC https://t.co/FPZIs7AWg4 #quake",1
37,"#KincadeFire 🔥 unofficial, automated update.
At Geyserville, CA. ⚠️ DO NOT USE FOR SAFETY PURPOSES - See officials… https://t.co/2EIIaqOruB",0
38,"USGS reports a M1.23 #earthquake 6km WNW of Cobb, CA on 10/26/19 @ 22:41:27 UTC https://t.co/JQzZQUBpAT #quake",1
39,"USGS reports a M1.34 #earthquake 2km WNW of The Geysers, CA on 10/26/19 @ 21:44:44 UTC https://t.co/zRGyue4ra1 #quake",1
40,"#KincadeFire 🔥 unofficial, automated update.
Near Cobb, CA. ⚠️ DO NOT USE FOR SAFETY PURPOSES - See officials inste… https://t.co/dYEyVQ0B1z",0
41,"2.2 magnitude #earthquake. 7 km from Cobb, #CA, United States https://t.co/AaYCS94Mts",1
42,"California, United States of America
MD 2.2 (4 min ago)
0km 38.77°N 122.78°W
Oct 26, 2019 20:01:08 UTC
#earthquake",1
43,"USGS reports a M2.21 #earthquake 2km W of The Geysers, CA on 10/26/19 @ 20:01:08 UTC https://t.co/V9awSbXLUM #quake",1
44,"USGS reports a M2.13 #earthquake 1km SSW of The Geysers, CA on 10/26/19 @ 16:15:04 UTC https://t.co/0ORjV9A5F5 #quake",1
45,"California, United States of America
MD 2.1 (2 min ago)
0km 38.77°N 122.76°W
Oct 26, 2019 16:15:04 UTC
#earthquake",1
0,"5.1 earthquake, 41km SW of Honiara, Solomon Islands. 2019-10-28 19:01:39 at epicenter (22m ago, depth 23km). https://t.co/m0gx5uzdrY",1
1,"Mb 5.1 earthquake (reviewed) occured at 2019-10-28T08:01:39 UTC, 41km SW of Honiara, Solomon Islands https://t.co/FZp6ooUOAL",1
2,"USGS reports a M5.1 #earthquake 41km SW of Honiara, Solomon Islands on 10/28/19 @ 8:01:39 UTC https://t.co/EX0m0nGqom #quake",1
3,"A 5.1 magnitude earthquake occurred 25.48mi SW of Honiara, Solomon Islands. Details: https://t.co/TXByqhSadb Map: https://t.co/EZf72tUHot",1
4,"M5.1 SOLOMON ISLANDS Depth 23.3km Oct 28, 2019 08:01:39 UTC, Oct 28, 2019 19:01:39 at epicenter https://t.co/y95VFb2YOp",1
5,"【M5.1】SOLOMON ISLANDS 23.3km 2019/10/28 17:01:39JST, 2019/10/28 08:01:39UTC
(G)https://t.co/1xA9BnbLK0 (USGS)https://t.co/s6li6WZ3xg",1
0,"USGS reports a M1.97 #earthquake 23km SSW of Los Banos, CA on 10/28/19 @ 8:12:01 UTC https://t.co/XBsPi0qS1w #quake",1
1,"Ml 3.69 earthquake (reviewed) occured at 2019-10-28T07:55:49 UTC, 24km SSW of Los Banos, CA https://t.co/GotAuxqGWs",1
2,"3.7 earthquake, 24km SSW of Los Banos, CA. 2019-10-27 23:55:49 at epicenter (6m ago, depth 3.7km). https://t.co/wiHxjzaGOa",1
3,"Minor 3.69 earthquake: 00:55:49 on 10/28. Loc: 14.9mi SSW of Los Banos, CA. Depth: 2.3 mi https://t.co/EBlVX9gNi0",1
4,"3.7 magnitude #earthquake. 24 km from Los Banos, #CA, United States https://t.co/CjfJDH6uDn",1
5,"Ml 3.69 earthquake (automatic) occured at 2019-10-28T07:55:49 UTC, 24km SSW of Los Banos, CA https://t.co/GotAuxqGWs",1
6,"USGS reports a M3.69 #earthquake 24km SSW of Los Banos, CA on 10/28/19 @ 7:55:49 UTC https://t.co/6fqsGJoiKW #quake",1
7,"California, United States of America
ML 3.7 (3 min ago)
4km 36.87°N 120.98°W
Oct 28, 2019 07:55:49 UTC
#earthquake https://t.co/x3SdD3CI5A",1
8,"Md 2.47 earthquake (automatic) occured at 2019-10-28T07:42:27 UTC, 24km SSW of Los Banos, CA https://t.co/INcNSi8wk6",1
9,"California, United States of America
MD 2.5 (3 min ago)
0km 36.88°N 120.98°W
Oct 28, 2019 07:42:27 UTC
#earthquake",1
10,"USGS reports a M2.47 #earthquake 24km SSW of Los Banos, CA on 10/28/19 @ 7:42:27 UTC https://t.co/Mjn2p4htEE #quake",1
11,"1.6 magnitude #earthquake. 25 km from #LosBanos, CA, United States https://t.co/0NGe2CFhrE",1
12,"USGS reports a M1.57 #earthquake 25km SSW of Los Banos, CA on 10/27/19 @ 14:23:22 UTC https://t.co/jjGLrdAdlM #quake",1
0,"USGS reports a M1.97 #earthquake 23km SSW of Los Banos, CA on 10/28/19 @ 8:12:01 UTC https://t.co/XBsPi0qS1w #quake",1
1,"Ml 3.69 earthquake (reviewed) occured at 2019-10-28T07:55:49 UTC, 24km SSW of Los Banos, CA https://t.co/GotAuxqGWs",1
2,"3.7 earthquake, 24km SSW of Los Banos, CA. 2019-10-27 23:55:49 at epicenter (6m ago, depth 3.7km). https://t.co/wiHxjzaGOa",1
3,"Minor 3.69 earthquake: 00:55:49 on 10/28. Loc: 14.9mi SSW of Los Banos, CA. Depth: 2.3 mi https://t.co/EBlVX9gNi0",1
4,"3.7 magnitude #earthquake. 24 km from Los Banos, #CA, United States https://t.co/CjfJDH6uDn",1
5,"Ml 3.69 earthquake (automatic) occured at 2019-10-28T07:55:49 UTC, 24km SSW of Los Banos, CA https://t.co/GotAuxqGWs",1
6,"USGS reports a M3.69 #earthquake 24km SSW of Los Banos, CA on 10/28/19 @ 7:55:49 UTC https://t.co/6fqsGJoiKW #quake",1
7,"California, United States of America
ML 3.7 (3 min ago)
4km 36.87°N 120.98°W
Oct 28, 2019 07:55:49 UTC
#earthquake https://t.co/x3SdD3CI5A",1
8,"Md 2.47 earthquake (automatic) occured at 2019-10-28T07:42:27 UTC, 24km SSW of Los Banos, CA https://t.co/INcNSi8wk6",1
9,"California, United States of America
MD 2.5 (3 min ago)
0km 36.88°N 120.98°W
Oct 28, 2019 07:42:27 UTC
#earthquake",1
10,"USGS reports a M2.47 #earthquake 24km SSW of Los Banos, CA on 10/28/19 @ 7:42:27 UTC https://t.co/Mjn2p4htEE #quake",1
11,"1.6 magnitude #earthquake. 25 km from #LosBanos, CA, United States https://t.co/0NGe2CFhrE",1
12,"USGS reports a M1.57 #earthquake 25km SSW of Los Banos, CA on 10/27/19 @ 14:23:22 UTC https://t.co/jjGLrdAdlM #quake",1
0,"California, United States of America
MD 2.0 (3 min ago)
2km 38.83°N 122.81°W
Oct 28, 2019 15:26:58 UTC
#earthquake",1
1,"USGS reports a M2.05 #earthquake 7km NW of The Geysers, CA on 10/28/19 @ 15:26:58 UTC https://t.co/50FKIho0h0 #quake",1
2,"1.6 magnitude #earthquake. 8 km from #Cobb, CA, United States https://t.co/jtCUzUYf0a",1
3,"USGS reports a M1.55 #earthquake 6km NW of The Geysers, CA on 10/28/19 @ 15:11:05 UTC https://t.co/0MjGnnK8pm #quake",1
4,"California, United States of America
MD 2.1 (4 min ago)
1km 38.80°N 122.81°W
Oct 28, 2019 14:07:22 UTC
#earthquake",1
5,"2.1 magnitude #earthquake. 8 km from #Cobb, CA, United States https://t.co/Z6ibYwlEEy",1
